user_id,user_name,time,comment,shoucang,zhuanfa,pinglun,dianzan,device,url
4100171854203174,中国大地保险直销车险,2017-4-24 21:30,#午夜聆听# 人生就像蒲公英，看似无拘无束，却又身不由己。 ,0,1,0,1,皮皮时光机企业版,//weibo.com/2746516814/F04tbhDr8?refer_flag=1001030103_
4100163150050823,胡淵-我的驿家,2017-4-24 20:55,发表了博文《肾阳虚了~~》父亲让我与他一道去苏州，我说脑子里放不下那么多事，没去。阿姨说她遇到了一个前所未有的好项目，我说我已经有了书法与理疗。大地保险打电话来，说他的车险可以如何如何优惠，我说我有牌|肾阳虚了~~ ,0,0,0,0,新浪博客,//weibo.com/3446803344/F04f90ddJ?refer_flag=1001030103_
4100122277016573,中国大地保险官微,2017-4-22 19:45,小小年纪还不懂什么是爱，大地君猜想，等长大了应该可以拍速度与激情了吧！          ,0,0,0,0,秒拍网页版,//weibo.com/5699800473/EFInSpBYy?refer_flag=1001030103_
4100120070484896,中国大地保险官微,2017-4-24 18:04,#大地抖料#【这些名言，真相原来都在后半句】“天才是1%的灵感加99%的汗水”，这是你努力奋斗的座右铭？且慢！人家这话才说了一半，后面紧跟着的是——“但那1%的灵感是最重要的，甚至比99%的汗水都重要”。真是自古后句出真相呀！戳图↓↓一起澄清那些“前半句的误会”吧！ ,0,0,0,0,微博 weibo.com,//weibo.com/2938890114/F037F228U?refer_flag=1001030103_
4100119541928662,中国大地保险官微,2017-4-24 18:02,人民的车险全员狂欢优惠来啦！4月24日-4月28日，活动仅限五天，砸金蛋赢积分，最高有20000积分礼包哦！赶紧戳链接获取优惠！网页链接 ,0,0,0,0,微博 weibo.com,//weibo.com/2938890114/F036O85Js?refer_flag=1001030103_
4100020062438351,中国大地保险直销车险,2017-4-24 11:27,看了一眼最近股市的走势，立马想到了这张图 ,0,1,0,1,360安全浏览器,//weibo.com/2746516814/F00wmaekf?refer_flag=1001030103_
4100013665273956,Tiger_and_Rose,2017-4-24 11:01,大地保险300万高端医疗保险，史上最强，无可超越，把握机遇！优势一：投保30天后，不论大病小病，只要住院就可以赔，无病种限制；且60岁以下，免体检呦，最高可续保至80岁。🎊🎊优势二：打破社保用药目录范围，只要合理的医疗费用什么药都报销，不论是国产药/还 ...展开全文c,0,0,2,0,iPhone 7 Plus,//weibo.com/2503422031/F00m2m7ZO?refer_flag=1001030103_
4099999035671952,中国大地保险直销车险,2017-4-24 10:03,#杭州男子因停车纠纷，抱起他人狠摔致骨折# 近日， 杭州滨江区发生一起因停车纠纷引发的暴力伤人案，一男子因停车与另一男子发生冲突，并将其拦腰抱起狠摔在地，致对方胸部压缩性骨折。目前，男子张某已被警方控制。伤者吴某住院治疗中。PS：行车在外，文明礼让，退一步海阔天空 网页链接       ,0,0,0,1,分享按钮,//weibo.com/2746516814/EFXqLnNx6?refer_flag=1001030103_
4099975535496069,中国大地保险直销车险,2017-4-24 08:30,#早安大地# 三个方法可以解决所有的问题：接受，改变，离开。 ,0,0,0,3,皮皮时光机企业版,//weibo.com/2746516814/EFWORn3Mh?refer_flag=1001030103_
4120035440176476,中国大地保险官微,2017-6-18 17:00,#大有见地#【送给父亲的健康叮咛】爸爸总说：“我没事、吃过饭了、别担心我…”可事实上，由于工作的负担、精神的压力，很多健康问题常被他们忽视和拖延。国家卫计委数据显示，近50%成年男性正受不同程度健康困扰。父亲节健康提醒送给爸爸↓告诉他，没有健康，成功没有意义。为爸爸转！#爸，我爱你 ...展开全文c,0,1,0,0,微博 weibo.com,//weibo.com/2938890114/F8pde0JUo?refer_flag=1001030103_
